Ano;UF;Especie;Grupo;Uso;Quantidade
2013;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11734029
2016;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;11532325
2016;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11352066
2018;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11349215
2021;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;11315265
2013;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11240394
2020;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;11217783
2015;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11190095
2013;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;11182710
2014;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;11177239
2017;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;11165763
2018;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;11141670
2015;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;11126490
2019;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;11074269
2017;Paraná;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10829020
2019;Bahia;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;10622456
2023;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10236722
2023;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;10230113
2022;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10074427
2016;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;10061395
2013;Paraná;Eucalipto;1.2 - Lenha;Madeira para combustível;9918530
2022;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;9893730
2016;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;9878927
2021;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;9862430
2013;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;9849329
2017;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;9673836
2014;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;9524199
2015;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;9498824
2018;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;9429757
2015;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;9419761
2017;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;9396787
2020;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;9127097
2014;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;9020721
2021;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8871961
2023;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;8852000
2016;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;8823732
2019;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;8686271
2019;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8682284
2019;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;8612485
2020;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;8497068
2018;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8430773
2021;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;8415168
2014;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8293047
2018;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;8274914
2015;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8195752
2020;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8183550
2022;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8076966
2013;Mato Grosso do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8033052
2015;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7989858
2022;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7930277
2016;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;7923350
2017;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;7922963
2023;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;7848469
2021;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7848037
2023;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7820786
2022;Rio Grande do Sul;Eucalipto;1.2 - Lenha;Madeira para combustível;7789774
2021;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7777862
2016;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7775170
2013;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7633910
2020;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7608889
2017;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;7562187
2020;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7558208
2023;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7549338
2014;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7443391
2017;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7259560
2018;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7136759
