Ano;UF;Especie;Grupo;Uso;Quantidade
2015;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7989858
2017;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;7922963
2013;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7633910
2023;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7549338
2017;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7259560
2014;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7082621
2013;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6960902
2023;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6527636
2019;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6516744
2022;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6477262
2015;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6351684
2021;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6331723
2020;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6236722
2018;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6106193
2016;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6084604
2014;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6032262
2016;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6030243
2013;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6028084
2019;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5999281
2014;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5161681
2015;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4384093
2023;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3134103
2018;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2776837
2013;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2425602
2014;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2409574
2017;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2394951
2021;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2297508
2016;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2248235
2022;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2219836
2020;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2170808
2015;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2161485
2017;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;2008538
2015;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1895715
2016;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1889218
2019;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1885034
2019;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;1788930
2020;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;1748186
2018;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;1707603
2017;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1677026
2023;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;1661706
2014;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;1651963
2022;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;1578113
