Cod_UF;UF;Ano;Tipo_Floresta;Tipo_Produto;Produto_Florestal_Codigo;Grupo;Uso;Parte_Planta;Especie;Quantidade;Unidade_Medida_PEVS;Valor_Producao_Nominal_Mil_R$;Fator_Correcao_IPCA;Valor_Corrigido_IPCA_Mil_R$;Preco_Medio_Nominal;Preco_Medio_Corrigido_IPCA
41;Paraná;2017;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;1677026;Metros cúbicos;68.822,00;1.44;99492.92;41,04;59.32
35;São Paulo;2015;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;5691018;Metros cúbicos;210.503,00;1.6;337143.4;36,99;59.24
29;Bahia;2022;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;1147142;Metros cúbicos;61.672,00;1.1;67915.08;53,76;59.2
41;Paraná;2015;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;1895715;Metros cúbicos;70.009,00;1.6;112127.0;36,93;59.14
41;Paraná;2023;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;1424567;Metros cúbicos;80.199,00;1.05;84257.06;56,30;59.14
22;Piauí;2017;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;113492;Metros cúbicos;4.637,00;1.44;6703.5;40,86;59.06
41;Paraná;2014;Floresta Plantada;PFNM;2.2 - Eucalipto (folha);2 - Outros produtos; Não especificado;Folha;Eucalipto;328;Toneladas;11,00;1.76;19.36;33,54;59.04
42;Santa Catarina;2021;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;6231289;Metros cúbicos;312.728,00;1.17;366668.59;50,19;58.84
42;Santa Catarina;2021;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;179407;Metros cúbicos;9.002,00;1.17;10554.7;50,18;58.83
29;Bahia;2019;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;161520;Metros cúbicos;7.043,00;1.34;9497.23;43,60;58.8
35;São Paulo;2016;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;14354314;Metros cúbicos;567.272,00;1.48;842233.01;39,52;58.67
22;Piauí;2018;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;175823;Metros cúbicos;7.454,00;1.38;10306.25;42,39;58.61
22;Piauí;2020;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;3111;Metros cúbicos;140,00;1.29;181.66;45,00;58.39
22;Piauí;2019;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;60840;Metros cúbicos;2.633,00;1.34;3550.5;43,28;58.36
43;Rio Grande do Sul;2017;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;9396787;Metros cúbicos;379.056,00;1.44;547984.48;40,34;58.31
41;Paraná;2013;Floresta Plantada;PFNM;2.2 - Eucalipto (folha);2 - Outros produtos; Não especificado;Folha;Eucalipto;322;Toneladas;10,00;1.87;18.76;31,06;58.27
29;Bahia;2018;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;262741;Metros cúbicos;11.061,00;1.38;15293.46;42,10;58.2
29;Bahia;2018;Floresta Plantada;PFM;1.3.2.2 - Madeira em tora de pinus para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Pinus;17250;Metros cúbicos;725,00;1.38;1002.41;42,03;58.1
25;Paraíba;2023;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;2100;Metros cúbicos;116,00;1.05;121.86;55,24;58.03
43;Rio Grande do Sul;2015;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;4837676;Metros cúbicos;175.062,00;1.6;280380.78;36,19;57.96
42;Santa Catarina;2016;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;880707;Metros cúbicos;34.333,00;1.48;50974.46;38,98;57.87
29;Bahia;2017;Floresta Plantada;PFM;1.3.2.2 - Madeira em tora de pinus para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Pinus;10000;Metros cúbicos;400,00;1.44;578.26;40,00;57.82
50;Mato Grosso do Sul;2017;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;16500;Metros cúbicos;660,00;1.44;954.13;40,00;57.82
29;Bahia;2018;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;301521;Metros cúbicos;12.608,00;1.38;17432.42;41,81;57.81
42;Santa Catarina;2022;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;185930;Metros cúbicos;9.744,00;1.1;10730.38;52,41;57.7
33;Rio de Janeiro;2015;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;450854;Metros cúbicos;16.244,00;1.6;26016.53;36,03;57.7
41;Paraná;2018;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;11141670;Metros cúbicos;464.032,00;1.38;641592.94;41,65;57.58
15;Pará;2017;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;526000;Metros cúbicos;20.943,00;1.44;30276.36;39,82;57.56
28;Sergipe;2017;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;92548;Metros cúbicos;3.679,00;1.44;5318.56;39,75;57.46
31;Minas Gerais;2023;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;5015546;Metros cúbicos;273.182,00;1.05;287005.0;54,47;57.22
35;São Paulo;2016;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;6164880;Metros cúbicos;237.362,00;1.48;352413.14;38,50;57.16
35;São Paulo;2022;Floresta Plantada;PFM;1.3.2.2 - Madeira em tora de pinus para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Pinus;219485;Metros cúbicos;11.381,00;1.1;12533.1;51,85;57.1
35;São Paulo;2021;Floresta Plantada;PFM;1.3.2.2 - Madeira em tora de pinus para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Pinus;266384;Metros cúbicos;12.928,00;1.17;15157.87;48,53;56.9
17;Tocantins;2022;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;133000;Metros cúbicos;6.855,00;1.1;7548.93;51,54;56.76
50;Mato Grosso do Sul;2021;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;7209;Metros cúbicos;348,00;1.17;408.02;48,27;56.59
43;Rio Grande do Sul;2014;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;251084;Metros cúbicos;8.059,00;1.76;14188.92;32,10;56.51
33;Rio de Janeiro;2023;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;482035;Metros cúbicos;25.844,00;1.05;27151.7;53,61;56.32
50;Mato Grosso do Sul;2013;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;30000;Metros cúbicos;900,00;1.87;1688.94;30,00;56.3
43;Rio Grande do Sul;2013;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;450635;Metros cúbicos;13.511,00;1.87;25354.84;29,98;56.25
43;Rio Grande do Sul;2018;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;9429757;Metros cúbicos;383.331,00;1.38;530011.85;40,65;56.2
29;Bahia;2019;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;355921;Metros cúbicos;14.803,00;1.34;19961.31;41,59;56.08
31;Minas Gerais;2019;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;53324;Metros cúbicos;2.215,00;1.34;2986.84;41,54;56.01
35;São Paulo;2020;Floresta Plantada;PFM;1.3.2.2 - Madeira em tora de pinus para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Pinus;402005;Metros cúbicos;17.340,00;1.29;22500.71;43,13;55.97
31;Minas Gerais;2016;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;5808664;Metros cúbicos;218.637,00;1.48;324612.0;37,64;55.88
17;Tocantins;2021;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;129051;Metros cúbicos;6.150,00;1.17;7210.77;47,66;55.87
33;Rio de Janeiro;2013;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;531037;Metros cúbicos;15.784,00;1.87;29620.37;29,72;55.77
35;São Paulo;2016;Floresta Plantada;PFM;1.3.2.2 - Madeira em tora de pinus para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Pinus;495883;Metros cúbicos;18.618,00;1.48;27642.28;37,55;55.74
41;Paraná;2021;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;928675;Metros cúbicos;43.949,00;1.17;51529.5;47,32;55.48
